Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2022 [YR2022]
Chile,CHL,"Population, total",SP.POP.TOTL,19370624,19553036
China,CHN,"Population, total",SP.POP.TOTL,1411100000,1412175000
Colombia,COL,"Population, total",SP.POP.TOTL,50629997,51737944
Comoros,COM,"Population, total",SP.POP.TOTL,802163,834188
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,95989998,102396968
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5752791,6035104
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5034320,5081765
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,28915449,30395002
Croatia,HRV,"Population, total",SP.POP.TOTL,3914206,3855641
Cuba,CUB,"Population, total",SP.POP.TOTL,11176354,11059820
Curacao,CUW,"Population, total",SP.POP.TOTL,154947,149996
Cyprus,CYP,"Population, total",SP.POP.TOTL,1302247,1331370
Czechia,CZE,"Population, total",SP.POP.TOTL,10697858,10672118
Denmark,DNK,"Population, total",SP.POP.TOTL,5831404,5903037
Djibouti,DJI,"Population, total",SP.POP.TOTL,1105188,1137096
Dominica,DMA,"Population, total",SP.POP.TOTL,67573,66826
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,11008300,11230734
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3396051187,3470644834
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2369438682,2379648296
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2121866294,2133560408
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2095759417,2107261123
Ecuador,ECU,"Population, total",SP.POP.TOTL,17546065,17823897
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,109315124,112618250
El Salvador,SLV,"Population, total",SP.POP.TOTL,6234673,6280319
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1716468,1803545
Eritrea,ERI,"Population, total",SP.POP.TOTL,3291271,3409447
Estonia,EST,"Population, total",SP.POP.TOTL,1329522,1348840
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1192729,1218917
Ethiopia,ETH,"Population, total",SP.POP.TOTL,118917671,125384287
Euro area,EMU,"Population, total",SP.POP.TOTL,346922366,348627172
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,925088545.5,925385334.5
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,250655325.5,250834021.5
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,463913014.5,461440170.5
European Union,EUU,"Population, total",SP.POP.TOTL,447653554,447847220
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,52571,53952
Fiji,FJI,"Population, total",SP.POP.TOTL,914963,919422
Finland,FIN,"Population, total",SP.POP.TOTL,5529543,5556106
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,996691242,1038158122
France,FRA,"Population, total",SP.POP.TOTL,67601110,68065015
French Polynesia,PYF,"Population, total",SP.POP.TOTL,279209,280378
Gabon,GAB,"Population, total",SP.POP.TOTL,2322539,2430747
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2515733,2636470
Georgia,GEO,"Population, total",SP.POP.TOTL,3722716,3712502
Germany,DEU,"Population, total",SP.POP.TOTL,83160871,83797985
Ghana,GHA,"Population, total",SP.POP.TOTL,31887809,33149152
Gibraltar,GIB,"Population, total",SP.POP.TOTL,36173,37609
Greece,GRC,"Population, total",SP.POP.TOTL,10698599,10436882
Greenland,GRL,"Population, total",SP.POP.TOTL,56367,56661
Grenada,GRD,"Population, total",SP.POP.TOTL,116341,116913
Guam,GUM,"Population, total",SP.POP.TOTL,162158,165180
Guatemala,GTM,"Population, total",SP.POP.TOTL,17357325,17847877
Guinea,GIN,"Population, total",SP.POP.TOTL,13371183,14055137
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,2013255,2105529
Guyana,GUY,"Population, total",SP.POP.TOTL,807481,821637
Haiti,HTI,"Population, total",SP.POP.TOTL,11243848,11503606
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,847743308,893906294
High income,HIC,"Population, total",SP.POP.TOTL,1389524835,1393036569
Honduras,HND,"Population, total",SP.POP.TOTL,10119640,10463872
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7481000,7346100
Hungary,HUN,"Population, total",SP.POP.TOTL,9750149,9644377
IBRD only,IBD,"Population, total",SP.POP.TOTL,..,..
Iceland,ISL,"Population, total",SP.POP.TOTL,366463,382003
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,6667541079,6795222292
IDA blend,IDB,"Population, total",SP.POP.TOTL,..,..
IDA only,IDX,"Population, total",SP.POP.TOTL,..,..
IDA total,IDA,"Population, total",SP.POP.TOTL,..,..
India,IND,"Population, total",SP.POP.TOTL,1402617695,1425423212
Indonesia,IDN,"Population, total",SP.POP.TOTL,274814866,278830529
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,87723443,89524246
Iraq,IRQ,"Population, total",SP.POP.TOTL,42116605,44070551
Ireland,IRL,"Population, total",SP.POP.TOTL,4985382,5165700
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84064,84132
Israel,ISR,"Population, total",SP.POP.TOTL,9215100,9557500
Italy,ITA,"Population, total",SP.POP.TOTL,59438851,59013667
Jamaica,JAM,"Population, total",SP.POP.TOTL,2830739,2839144
Japan,JPN,"Population, total",SP.POP.TOTL,126261000,125124989
Jordan,JOR,"Population, total",SP.POP.TOTL,10865228,11256263
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,19482117,20034609
Kenya,KEN,"Population, total",SP.POP.TOTL,52217334,54252461
Kiribati,KIR,"Population, total",SP.POP.TOTL,126099,130469
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,26136312,26328845
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51836239,51672569
Kosovo,XKX,"Population, total",SP.POP.TOTL,1790152,1768096
Kuwait,KWT,"Population, total",SP.POP.TOTL,4400267,4589643
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6726595.5,6975219.5
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7346533,7559007
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2316785460,2324072106
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,645497618,653104771
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,583125825,590730587
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,630051021,637837815
Latvia,LVA,"Population, total",SP.POP.TOTL,1900449,1879383
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,1083853567,1134811909
Lebanon,LBN,"Population, total",SP.POP.TOTL,5702398,5744489
Lesotho,LSO,"Population, total",SP.POP.TOTL,2235727,2286110
Liberia,LBR,"Population, total",SP.POP.TOTL,5149463,5373294
Libya,LBY,"Population, total",SP.POP.TOTL,7045399,7223805
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,38901,39493
Lithuania,LTU,"Population, total",SP.POP.TOTL,2794885,2831639
Low & middle income,LMY,"Population, total",SP.POP.TOTL,6438169878,6568731934
Low income,LIC,"Population, total",SP.POP.TOTL,679560744,716865783
Lower middle income,LMC,"Population, total",SP.POP.TOTL,2966396717,3041203717
Luxembourg,LUX,"Population, total",SP.POP.TOTL,630419,653103
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,685400,677300
Madagascar,MDG,"Population, total",SP.POP.TOTL,28953556,30437261
Malawi,MWI,"Population, total",SP.POP.TOTL,19533888,20568728
Malaysia,MYS,"Population, total",SP.POP.TOTL,33889558,34695493
Maldives,MDV,"Population, total",SP.POP.TOTL,502118,524106
Mali,MLI,"Population, total",SP.POP.TOTL,21713836,23072640
Malta,MLT,"Population, total",SP.POP.TOTL,515332,531511
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,42706,40077
Mauritania,MRT,"Population, total",SP.POP.TOTL,4600131,4875637
Mauritius,MUS,"Population, total",SP.POP.TOTL,1266014,1262523
Mexico,MEX,"Population, total",SP.POP.TOTL,126799054,128613117
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,110916,112114
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,482334398,498070255
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,418461302,432229148
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,413658033,427185536
Middle income,MIC,"Population, total",SP.POP.TOTL,5758609134,5851866151
Moldova,MDA,"Population, total",SP.POP.TOTL,2635130,2528654
Monaco,MCO,"Population, total",SP.POP.TOTL,38050,38931
Mongolia,MNG,"Population, total",SP.POP.TOTL,3327204,3433748
Montenegro,MNE,"Population, total",SP.POP.TOTL,621306,617213
Morocco,MAR,"Population, total",SP.POP.TOTL,36584208,37329064
Mozambique,MOZ,"Population, total",SP.POP.TOTL,30783688,32656246
Myanmar,MMR,"Population, total",SP.POP.TOTL,53016522,53756787
Namibia,NAM,"Population, total",SP.POP.TOTL,2728762,2889662
Nauru,NRU,"Population, total",SP.POP.TOTL,11643,11801
Nepal,NPL,"Population, total",SP.POP.TOTL,28966574,29715436
Netherlands,NLD,"Population, total",SP.POP.TOTL,17441500,17700982
New Caledonia,NCL,"Population, total",SP.POP.TOTL,284176,287123
New Zealand,NZL,"Population, total",SP.POP.TOTL,5090200,5117200
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6565267,6730654
Niger,NER,"Population, total",SP.POP.TOTL,23717613,25311973
Nigeria,NGA,"Population, total",SP.POP.TOTL,213996181,223150896
North America,NAC,"Population, total",SP.POP.TOTL,369619953,372275216
North Macedonia,MKD,"Population, total",SP.POP.TOTL,1856124,1831712
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,47528,46078
Norway,NOR,"Population, total",SP.POP.TOTL,5379475,5457127
Not classified,INX,"Population, total",SP.POP.TOTL,..,..
OECD members,OED,"Population, total",SP.POP.TOTL,1370013876,1378506989
Oman,OMN,"Population, total",SP.POP.TOTL,4522497,4730226
Other small states,OSS,"Population, total",SP.POP.TOTL,13884095,14217718
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2595522,2656049
Pakistan,PAK,"Population, total",SP.POP.TOTL,235001746,243700667
Palau,PLW,"Population, total",SP.POP.TOTL,17792,17759
Panama,PAN,"Population, total",SP.POP.TOTL,4293261,4400773
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,9815746,10203169
Paraguay,PRY,"Population, total",SP.POP.TOTL,6603739,6760464
Peru,PER,"Population, total",SP.POP.TOTL,32838579,33475438
Philippines,PHL,"Population, total",SP.POP.TOTL,112081264,113964338
Poland,POL,"Population, total",SP.POP.TOTL,37899070,36821749
Portugal,PRT,"Population, total",SP.POP.TOTL,10297081,10434332
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1117765361,1117561802
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,998624261,1051201551
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3281557,3220113
Qatar,QAT,"Population, total",SP.POP.TOTL,2794148,2657333
Romania,ROU,"Population, total",SP.POP.TOTL,19265250,19048502
Russian Federation,RUS,"Population, total",SP.POP.TOTL,145245148,144236933
Rwanda,RWA,"Population, total",SP.POP.TOTL,13065837,13651030
Samoa,WSM,"Population, total",SP.POP.TOTL,211944,215261
San Marino,SMR,"Population, total",SP.POP.TOTL,34770,33755
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,217435,226305
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,31552510,32175224
Senegal,SEN,"Population, total",SP.POP.TOTL,16789219,17651103
Serbia,SRB,"Population, total",SP.POP.TOTL,6899126,6664449
Seychelles,SYC,"Population, total",SP.POP.TOTL,98462,119878
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7912558,8276807
Singapore,SGP,"Population, total",SP.POP.TOTL,5685807,5637022
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,41008,42139
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5458827,5431752
Slovenia,SVN,"Population, total",SP.POP.TOTL,2102419,2112076
Small states,SST,"Population, total",SP.POP.TOTL,19572194,20005272
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,744498,781066
Somalia,SOM,"Population, total",SP.POP.TOTL,16651191,17801897
South Africa,ZAF,"Population, total",SP.POP.TOTL,60562381,62378410
South Asia,SAS,"Population, total",SP.POP.TOTL,1895144142,1932289074
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1895144142,1932289074
South Sudan,SSD,"Population, total",SP.POP.TOTL,10698467,11021177
Spain,ESP,"Population, total",SP.POP.TOTL,47365655,47759127
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21919000,22181000
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,46870,46709
St. Lucia,LCA,"Population, total",SP.POP.TOTL,178250,178781
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,31786,28870
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,103526,102046
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1169015451,1229208573
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,1168916989,1229088695
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1169015451,1229208573
Sudan,SDN,"Population, total",SP.POP.TOTL,46789231,49383346
Suriname,SUR,"Population, total",SP.POP.TOTL,612317,623164
Sweden,SWE,"Population, total",SP.POP.TOTL,10353442,10486941
Switzerland,CHE,"Population, total",SP.POP.TOTL,8638167,8777088
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,21049429,22462173
Tajikistan,TJK,"Population, total",SP.POP.TOTL,9749310,10182222
Tanzania,TZA,"Population, total",SP.POP.TOTL,60972798,64711821
Thailand,THA,"Population, total",SP.POP.TOTL,71641484,71735329
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1326053,1369295
Togo,TGO,"Population, total",SP.POP.TOTL,8669720,9089738
Tonga,TON,"Population, total",SP.POP.TOTL,105704,105042
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1366725,1365805
Tunisia,TUN,"Population, total",SP.POP.TOTL,11974057,12119334
Turkiye,TUR,"Population, total",SP.POP.TOTL,83384680,84979913
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,6949912,7230193
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,44386,45847
Tuvalu,TUV,"Population, total",SP.POP.TOTL,10399,9992
Uganda,UGA,"Population, total",SP.POP.TOTL,44457152,47312719
Ukraine,UKR,"Population, total",SP.POP.TOTL,44680014,41048766
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9401038,10074977
United Kingdom,GBR,"Population, total",SP.POP.TOTL,67081234,67791000
United States,USA,"Population, total",SP.POP.TOTL,331526933,333271411
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2792212417,2810662434
Uruguay,URY,"Population, total",SP.POP.TOTL,3398968,3390913
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,33586372,34938955
Vanuatu,VUT,"Population, total",SP.POP.TOTL,298858,313046
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28444077,28213017
Viet Nam,VNM,"Population, total",SP.POP.TOTL,98079191,99680655
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,106290,105413
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4803269,5043612
World,WLD,"Population, total",SP.POP.TOTL,7856138790,7989981520
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,36134863,38222876
Zambia,ZMB,"Population, total",SP.POP.TOTL,19059395,20152938
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,15526888,16069056
,,,,,
,,,,,
,,,,,
Data from database: Population estimates and projections,,,,,
Last Updated: 12/16/2024,,,,,
